seq;GEORGE
10163;SIM
45375;Sim
45356;Sim
10160;NÃO
10159;NÃO
10158;NÃO
10157;NÃO
10156;NÃO
45288;Sim
44946;Sim
10153;SIM
10152;SIM
7867;Sim
7854;Sim
7867;Sim
7854;Sim
13007;Sim
10146;SIM
10145;SIM
13007;Sim
8938;Não
8938;Não
10771;Não
10771;Não
39228;Não
36841;Não
36840;Não
36830;Não
36829;Não
32109;Não
39228;Não
36841;Não
36840;Não
36830;Não
36829;Não
10128;SIM
10127;SIM
10126;NÃO
10125;NÃO
32109;Não
10123;SIM
40746;Não
40720;Não
10120;SIM
40746;Não
40720;Não
10681;Não
10680;Não
10681;Não
10114;NÃO
10113;NÃO
10680;Não
10111;NÃO
8322;Não
8222;Não
8218;Não
8322;Não
8222;Não
8218;Não
26133;Não
10103;NÃO
26129;Não
20960;Não
26133;Não
26129;Não
20960;Não
10097;NÃO
10096;NÃO
9966;Não
10094;SIM
9964;Não
9950;Não
9886;Não
10089;NÃO
10088;NÃO
9871;Não
9866;Não
9862;Não
9860;Não
9858;Não
9836;Não
9835;Não
9831;Não
9830;Não
10078;NÃO
9829;Não
9820;Não
10075;NÃO
10074;SIM
9807;Não
10072;SIM
10070;SIM
10069;SIM
9806;Não
9805;Não
9804;Não
9803;Não
9802;Não
9801;Não
9799;Não
9798;Não
10060;SIM
9797;Não
9796;Não
9795;Não
10056;NÃO
9794;Não
9793;Não
9792;Não
9791;Não
9790;Não
10049;NÃO
10048;NÃO
10047;NÃO
10046;NÃO
9789;Não
9788;Não
9787;Não
10042;SIM
10041;NÃO
9786;Não
10039;SIM
10038;SIM
9774;Não
9770;Não
9755;Não
9752;Não
10033;SIM
10032;SIM
10031;NÃO
10030;NÃO
9751;Não
10027;SIM
10026;SIM
9750;Não
10024;SIM
9748;Não
9744;Não
10021;SIM
10020;SIM
9742;Não
9740;Não
9739;Não
9737;Não
9736;Não
10013;SIM
10012;SIM
10011;SIM
10010;SIM
10009;SIM
9724;Não
10007;SIM
9723;Não
9722;Não
10004;SIM
10003;NÃO
9721;Não
9708;Não
9707;Não
9701;Não
9700;Não
9699;Não
9996;SIM
9995;SIM
9994;SIM
9993;SIM
9992;SIM
9553;Não
9990;SIM
9966;Não
9964;Não
9987;SIM
9986;SIM
9985;SIM
9984;SIM
9983;SIM
9950;Não
9886;Não
9871;Não
9866;Não
9977;SIM
9862;Não
9860;Não
9858;Não
9836;Não
9835;Não
9831;Não
9830;Não
9829;Não
9968;SIM
9820;Não
9807;Não
10339;SIM
9806;Não
9805;Não
10336;SIM
9804;Não
9803;Não
10333;SIM
9802;Não
10331;SIM
10330;SIM
10329;SIM
10328;SIM
9801;Não
9799;Não
9798;Não
10324;SIM
9797;Não
9796;Não
10321;SIM
10320;SIM
10319;SIM
9795;Não
10317;SIM
9794;Não
9793;Não
10314;SIM
9792;Não
9791;Não
9790;Não
10310;SIM
10309;SIM
10308;SIM
9789;Não
9788;Não
9787;Não
9786;Não
9774;Não
9770;Não
9755;Não
9752;Não
9751;Não
9750;Não
9748;Não
9744;Não
9742;Não
9740;Não
9739;Não
9737;Não
9736;Não
10289;SIM
9724;Não
10287;SIM
10286;SIM
10285;SIM
10284;SIM
10283;SIM
10282;SIM
9723;Não
9722;Não
9721;Não
9708;Não
10277;SIM
10276;SIM
9707;Não
10274;SIM
9701;Não
10272;SIM
9700;Não
9699;Não
9553;Não
10338;Não
10337;Não
10335;Não
10306;Não
10304;Não
10303;Não
10301;Não
10300;Não
10258;SIM
10290;Não
10281;Não
10255;SIM
10280;Não
10265;Não
10251;SIM
10250;SIM
10263;Não
10249;Não
10248;Não
10247;Não
10245;NÃO
10244;NÃO
10243;NÃO
10239;Não
10241;SIM
10237;Não
10229;Não
10228;Não
10236;SIM
10225;Não
10211;Não
10193;Não
10232;SIM
10231;SIM
10230;SIM
10185;Não
10183;Não
10227;SIM
10226;SIM
10182;Não
10224;SIM
10180;Não
10222;SIM
10177;Não
10175;Não
10174;Não
10173;Não
10172;Não
10168;Não
10215;SIM
10214;SIM
10166;Não
10165;Não
10161;Não
10209;SIM
10208;SIM
10207;SIM
10149;Não
10205;SIM
10148;Não
10147;Não
10144;Não
10143;Não
10142;Não
10140;Não
10110;Não
10197;SIM
10107;Não
10106;Não
10091;Não
10191;SIM
10086;Não
10189;SIM
10188;SIM
10187;SIM
10073;Não
10066;Não
10055;Não
10050;Não
10044;Não
10035;Não
10034;Não
10023;Não
10019;Não
10176;SIM
10005;Não
10000;Não
9989;Não
9988;Não
10171;SIM
10170;SIM
10169;SIM
9976;Não
10167;SIM
9969;Não
9967;Não
10164;SIM
10163;SIM
10338;Não
10337;Não
10160;NÃO
10159;NÃO
10158;NÃO
10157;NÃO
10156;NÃO
10335;Não
10306;Não
10153;SIM
10152;SIM
10304;Não
10303;Não
10301;Não
10300;Não
10290;Não
10146;SIM
10145;SIM
10281;Não
10280;Não
