"";"name";"searched_name";"value_founded";"trusted"
104;"Daniele Monteiro Ferreira";"Monteiro";"Monteiro, OP";False
105;"Daniele Monteiro Ferreira";"Monteiro";"R.Monteiro";False
106;"Elsie Franklin Guimarães";"Guimar";"Guimarães";False
107;"Elsie Franklin Guimarães";"Guimar";"Guimarães, O.";False
108;"Elsie Franklin Guimarães";"Guimar";"Guimaraes";False
109;"Elsie Franklin Guimarães";"Guimar";"Guimarães, EF; V. Catarelli";True
110;"Elsie Franklin Guimarães";"Guimar";"L.A.Pereira & E.F. Guimarães/25-01-2008";True
111;"Elsie Franklin Guimarães";"Guimar";"E.F. Guimarães/2008";True
112;"Elsie Franklin Guimarães";"Guimar";"E.F. Guimarães/Out.2008";True
113;"Elsie Franklin Guimarães";"Guimar";"Guimarães E.F.; Ferreira, D.M.";True
114;"Elsie Franklin Guimarães";"Guimar";"Guimarães, E.; Ichaso, C.L.F.";True
115;"Elsie Franklin Guimarães";"Guimar";"Guimarães, E.; Sanaglia";True
116;"Elsie Franklin Guimarães";"Guimar";"Guimar~eas, E.F.";True
117;"Elsie Franklin Guimarães";"Guimar";"E.F. Guimarães/VII-2011";True
118;"Elsie Franklin Guimarães";"Guimar";"E.F. Guimarães/2019";True
119;"Elsie Franklin Guimarães";"Guimar";"E. F. Guimarães, E. Medeiros";True
120;"Elsie Franklin Guimarães";"Guimar";"Elsie F. Guimarães/2009";True
121;"Elsie Franklin Guimarães";"Guimar";"E. F. GuimarÃ£es";True
122;"Elsie Franklin Guimarães";"Guimar";"E.F. Guimarães";True
123;"Elsie Franklin Guimarães";"Guimar";"E. Guimarães";True
124;"Elsie Franklin Guimarães";"Guimar";"Guimarães, E.G.";True
125;"Elsie Franklin Guimarães";"Guimar";"Guimarães, E.F.; Ferreira, D.M.";True
126;"Elsie Franklin Guimarães";"Guimar";"E.F.Guimarães/2009";True
127;"Elsie Franklin Guimarães";"Guimar";"Guimarães, EF; Ferreira, DM";True
128;"Elsie Franklin Guimarães";"Guimar";"E.F. Guimarães-I/2008";True
129;"Elsie Franklin Guimarães";"Guimar";"D. M. Cavalcanti Ferreira; E. F. Guimarães";True
130;"Elsie Franklin Guimarães";"Guimar";"E. F. Guimarães";True
131;"Elsie Franklin Guimarães";"Guimar";"Guimarães, E.; Queiroz, G.A.";True
132;"Elsie Franklin Guimarães";"Guimar";"D. Guimarães";False
133;"Elsie Franklin Guimarães";"Guimar";"O.A. Guimarães";False
134;"Elsie Franklin Guimarães";"Guimar";"Guimarães, W.";False
135;"Elsie Franklin Guimarães";"Guimar";"Guimarães, EL";False
136;"Elsie Franklin Guimarães";"Guimar";"Tais B. Guimarães";False
137;"Elsie Franklin Guimarães";"Guimar";"Guimarães, E.K.";False
138;"Elsie Franklin Guimarães";"Guimar";"T. S. Mendes & E.Guimarães";False
139;"Elsie Franklin Guimarães";"Guimar";"Guimarães, L";False
140;"Elsie Franklin Guimarães";"Guimar";"Guimarães, O";False
